scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
90,265.86914,897.3535,1.0,247.4414,901.0283,1.0,261.5547,921.0703,0.98779297,258.67188,904.96875,1.0
91,264.5664,899.31396,1.0,247.01367,902.57227,1.0,259.95407,923.2427,1.0,257.77344,906.9629,1.0
92,264.03906,900.16956,0.9770508,246.29297,904.1914,0.99560547,259.71387,925.16113,1.0,257.51758,908.4861,1.0
93,263.19922,900.52783,0.9506836,245.1582,904.1133,1.0,257.78906,924.46875,1.0,256.56055,908.66406,1.0
94,262.56055,900.8208,1.0,242.40234,901.8125,1.0,253.10156,923.312,0.93896484,253.95703,906.5498,1.0
95,259.80103,901.79004,1.0,240.20312,899.687,0.95703125,248.21484,921.3887,0.95458984,250.28613,905.5586,1.0
96,255.96875,901.8506,0.98046875,236.63037,895.16797,0.9086914,239.83203,920.39453,0.9482422,247.35938,904.03125,1.0
97,253.92969,900.73096,0.9213867,234.84473,895.06836,0.9057617,239.35938,921.03516,0.9609375,245.02246,902.45703,1.0
98,255.66406,901.3086,0.9404297,234.05566,894.9336,0.9121094,238.33789,921.0547,0.95166016,244.15698,902.29297,1.0
99,254.95312,901.12305,1.0,232.50195,893.36816,0.94628906,235.31836,919.9199,0.99853516,242.93457,900.7261,1.0
100,252.89258,901.0156,1.0,231.60156,891.6787,0.9785156,233.84375,919.21094,0.9614258,241.0,900.15,1.0
101,251.00293,901.87305,1.0,230.58008,891.8439,1.0,231.85352,919.4531,0.9716797,239.20312,900.9741,1.0
102,248.46875,904.23047,1.0,229.23926,894.2949,0.99316406,229.66992,919.82227,0.9692383,238.57031,903.70703,1.0
103,249.1836,905.3281,0.99609375,228.0098,896.33203,0.9555664,228.38062,920.28906,0.9560547,237.47656,903.9297,1.0
104,248.64844,906.5869,1.0,228.34863,897.9004,0.984375,230.83398,923.1914,0.9628906,237.00293,906.6367,1.0
105,247.05273,908.8208,1.0,227.19873,899.51074,1.0,228.93652,924.5864,1.0,235.34082,908.01636,1.0
106,246.61719,912.21875,0.9057617,225.66406,902.7617,0.91796875,227.2666,927.7793,0.93066406,234.70117,912.2285,0.9321289
107,245.42578,912.9961,0.8359375,225.05664,903.29297,0.9111328,226.08594,927.40625,0.8408203,233.76758,912.5625,0.87597656
108,238.44531,913.0547,0.51904297,229.98047,907.50903,0.57958984,228.41113,923.94934,0.6176758,233.00781,915.1372,0.61279297
109,241.1836,913.7676,0.8408203,224.18164,905.5,0.85546875,224.96484,927.3164,0.89404297,232.36328,913.81055,0.90771484
110,241.48438,913.56055,0.82470703,225.49414,905.65234,0.8364258,225.45117,927.0176,0.88378906,232.01172,913.5996,0.88964844
111,242.20898,913.6992,0.81884766,225.53516,905.209,0.8183594,225.88867,927.46875,0.8564453,232.64844,914.1494,0.87402344
112,242.0498,912.86523,0.88183594,224.0586,905.47266,0.8730469,225.74414,928.23047,0.9194336,232.32812,913.30273,0.9277344
113,241.7207,912.67773,0.88720703,223.28125,905.21094,0.8745117,225.32422,928.40625,0.9326172,231.88672,912.94727,0.9145508
114,241.69336,913.4219,0.8955078,223.03906,904.7383,0.8876953,224.97461,927.62305,0.96533203,231.69922,912.6387,0.91503906
115,242.3086,912.2656,0.9824219,222.97266,903.15625,0.9189453,224.3711,927.4883,1.0,231.09766,910.48047,0.91064453
116,243.32129,912.0508,1.0,223.55078,902.2207,0.96972656,223.64453,927.2578,1.0,231.71484,909.75195,0.96777344
117,244.5498,910.59766,1.0,224.64648,900.563,0.9975586,224.63477,925.65625,1.0,232.9668,908.6543,1.0
118,243.12598,911.4551,1.0,224.56055,899.8915,0.9746094,222.32227,923.77783,0.9477539,232.02539,908.5488,1.0
