scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
150,246.19283,617.4121,1.0,226.21838,612.2977,0.98560864,232.45226,635.878,0.9726932,235.92853,619.7871,1.0
151,247.36893,619.1627,0.93170935,228.60631,618.15625,1.0,237.62831,636.6358,1.0,238.20615,624.17053,1.0
152,246.64157,621.31195,0.88540447,230.78374,624.316,1.0,241.23618,639.44055,1.0,239.47949,629.416,1.0
153,247.0077,627.45154,1.0,230.2348,630.5709,1.0,241.73135,645.9346,1.0,240.51727,635.8812,1.0
154,247.82613,636.711,0.84493077,230.038,638.4705,1.0,242.16093,654.6162,1.0,240.49123,644.3659,1.0
155,247.03673,644.3515,1.0,228.6357,647.39105,1.0,239.7054,663.515,0.975679,239.02295,652.7714,1.0
156,243.73468,654.249,0.86127996,227.07495,657.4874,0.9787579,238.65338,672.284,0.9611488,236.40234,662.651,1.0
157,245.45404,665.18854,0.9427099,227.45676,668.52795,1.0,239.5252,686.2612,0.955227,237.85806,673.2569,1.0
158,245.7028,675.66003,1.0,228.50464,679.979,1.0,240.32954,694.96173,1.0,238.65347,684.3205,1.0
159,244.8825,687.0812,0.86544746,227.23428,689.97797,1.0,239.51369,704.69604,1.0,237.49605,694.1727,1.0
160,244.18175,696.6499,0.9263889,226.80626,699.4551,1.0,236.54102,715.62885,0.9219778,235.73697,704.97516,0.9352607
161,241.82623,708.1549,0.8889588,225.35715,709.6883,0.8812404,233.05136,725.8631,0.8080783,232.57169,715.5253,0.97842157
162,238.81964,718.66833,0.790024,222.35095,719.48676,0.8825786,230.25298,735.8122,0.8449737,229.55273,726.7611,1.0
163,237.19118,729.485,0.83542275,217.93205,730.45154,0.9427509,228.8712,748.78394,0.9744575,228.02946,737.4401,0.95952404
164,237.02989,740.09906,0.9052863,217.92424,742.40344,1.0,230.59444,759.1143,0.98054934,228.50574,747.4108,1.0
