scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
88,821.72253,879.9312,1.0,797.16846,871.76276,1.0,797.90607,898.81055,0.9415811,808.7585,879.5841,0.9608347
89,820.83636,879.8957,1.0,797.1301,869.4906,1.0,795.2556,896.7095,0.93692607,808.6729,878.56885,0.9635401
90,820.2434,879.598,1.0,796.89355,867.2808,1.0,793.1615,895.954,0.9159106,807.7428,877.43744,1.0
91,818.0882,879.9868,1.0,795.95166,865.69037,1.0,791.82404,893.9326,0.89235264,806.13965,877.16797,1.0
92,815.8192,880.2744,0.97604614,795.3083,864.33594,1.0,790.1198,892.3593,0.9199568,804.64404,876.81494,1.0
93,815.9971,879.7781,0.97246146,795.00433,863.409,1.0,790.41034,892.19086,0.911809,804.5196,876.0962,1.0
94,815.29,879.8862,0.9732661,794.4331,864.13086,1.0,791.05176,893.0278,0.94136477,804.0504,876.5084,1.0
95,816.17255,879.3101,0.96786666,793.7479,865.4931,1.0,791.8354,894.6461,0.9558335,803.49786,877.31067,1.0
96,815.83344,879.4128,0.9816377,793.3998,865.4041,1.0,791.75653,894.5505,0.96149373,803.2463,877.3724,1.0
97,816.05475,879.3295,0.98001504,793.55664,865.13403,1.0,791.8388,894.4519,0.95741016,803.4552,877.27313,1.0
98,814.7814,880.01025,0.96244633,793.6793,864.9962,1.0,792.2929,894.3818,0.94809633,803.56116,876.9708,1.0
99,814.8957,879.52844,0.9716979,793.46906,865.47754,1.0,792.84247,894.82465,0.9355815,803.6159,877.1335,1.0
100,814.68805,879.6687,0.96887696,793.1208,866.6991,1.0,793.32825,895.89594,0.93095106,803.509,877.7257,1.0
101,814.10144,879.823,0.95346457,792.58014,866.599,1.0,793.0131,895.81964,0.9431989,802.9382,877.7662,1.0
102,815.2237,878.84094,0.9461603,792.0545,866.739,1.0,792.9367,895.07074,0.949201,802.4882,877.97076,1.0
103,814.79846,879.3573,0.9379386,791.4766,867.4662,1.0,793.6792,895.9775,0.96218014,801.9089,878.5032,1.0
104,815.00543,879.9762,0.9428519,791.23334,867.52576,1.0,793.86536,896.5988,0.95843065,801.98004,878.85406,1.0
105,814.98206,879.27704,0.93427086,791.248,867.04706,1.0,793.9077,896.1289,0.9514609,802.0093,878.3781,1.0
106,814.6072,879.7384,0.9372427,791.7718,867.4518,1.0,793.9417,896.22217,0.9404682,801.82623,878.63885,1.0
107,814.6451,880.3188,0.9240141,791.9271,867.7451,0.9956641,794.09766,896.6963,0.940144,802.2048,878.5949,1.0
108,815.0889,880.3509,0.9214884,792.4595,868.2036,0.9934007,793.1686,896.4201,0.92686397,802.5823,878.7394,1.0
109,815.10785,880.2924,0.92193353,792.5191,868.32544,0.99459267,793.2084,896.4599,0.92185444,802.62384,878.7648,1.0
110,815.1159,880.46,0.92844844,792.6898,868.39594,0.9895333,793.235,896.4858,0.9171365,802.6638,878.7989,1.0
111,814.89874,880.5235,0.92058796,792.5667,868.2482,0.9920819,793.12146,896.36896,0.91911286,802.4862,878.74207,1.0
112,814.9116,880.6307,0.9191926,792.75494,868.36957,0.99185944,793.0949,896.32556,0.9201171,802.5391,878.7608,1.0
113,814.8861,880.7953,0.93141973,792.38336,868.21045,0.9766607,793.1526,896.48474,0.91024446,802.39655,878.783,1.0
114,814.9005,881.3521,0.96058005,792.5101,868.8922,1.0,793.5478,895.41846,0.93146545,802.5597,879.33105,1.0
115,812.4148,882.5533,1.0,793.4053,868.14966,0.9910846,792.9887,891.18005,0.91527915,800.9269,879.6474,1.0
116,808.9251,881.2464,0.95923203,792.17377,866.89197,0.99732804,791.68524,889.1483,0.88650197,798.4459,878.9231,1.0
117,809.4469,880.5495,0.8989485,792.86926,866.62225,0.98441446,792.2704,887.279,0.9353193,797.7925,878.3401,1.0
118,808.8227,879.9398,0.9075211,792.0885,866.7309,0.94136155,790.6456,884.63605,0.9765436,795.9936,877.7278,1.0
119,806.77814,879.9942,0.95285344,790.56006,865.4221,0.9217311,789.9221,883.31866,1.0,794.2007,877.1734,1.0
120,805.3037,879.7804,0.909525,790.39233,864.98474,0.85228777,789.31885,881.52527,1.0,793.4627,876.1441,1.0
121,806.1688,878.99097,0.87845474,791.128,864.77704,0.86776376,790.0845,881.4367,0.99688417,794.1282,875.7113,1.0
122,806.2387,879.14404,0.8679592,791.9881,865.8275,0.8625407,790.9057,881.4125,0.99493265,794.34894,875.9534,1.0
123,805.2285,879.7603,0.88787305,792.08453,865.4862,0.865152,790.4039,880.58026,0.98590654,794.01495,875.91785,1.0
124,805.0889,879.25854,0.8910836,791.2639,865.5266,0.86173815,790.1124,881.20483,0.9952907,793.7996,876.065,1.0
125,805.1137,878.753,0.8900275,792.2293,865.28534,0.86865723,789.6346,881.6911,0.99981195,793.6113,876.0501,1.0
126,804.978,878.1377,0.8926307,791.90405,864.7229,0.8829695,789.12427,881.9214,1.0,793.69904,875.935,1.0
127,805.17645,877.49695,0.88870454,791.4068,865.05133,0.9083688,789.1402,882.3086,1.0,793.5574,875.9775,1.0
128,805.11475,877.59033,0.89955175,791.33954,864.73755,0.9285052,788.9715,882.2669,1.0,793.7216,876.05444,1.0
129,804.4623,878.15125,0.8831558,791.4381,864.1966,0.9055544,788.38904,881.6058,1.0,793.55396,875.6305,1.0
130,803.9053,877.30536,0.9209599,789.73834,862.3271,0.9183142,786.70087,880.37573,0.9764468,793.2236,874.3987,1.0
131,803.8989,877.56354,0.98105973,790.2566,859.8752,0.9838586,783.48065,879.23157,0.94954807,792.9838,873.09424,1.0
132,803.65753,876.87933,0.9946259,791.1295,857.77545,1.0,782.3645,877.58014,0.9968386,792.281,872.29047,1.0
