scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
92,814.4336,345.96875,0.75683594,798.6719,348.50244,0.88916016,808.47266,362.3545,0.9213867,806.7793,354.1123,1.0
93,814.2539,346.6953,0.7558594,798.3203,348.92773,0.88378906,808.27344,363.16797,0.9243164,806.625,354.68945,1.0
94,815.5742,345.4414,0.8276367,799.6094,347.7556,0.94189453,809.8281,361.82812,0.88427734,808.02734,353.50977,1.0
95,816.3281,344.1328,0.8564453,800.6875,347.30615,0.95410156,810.5615,360.16797,0.87939453,809.15625,352.4375,0.97216797
96,816.75586,342.83984,0.94189453,800.9668,347.7168,1.0,813.0205,359.5703,0.9248047,811.2261,351.78516,1.0
97,817.74023,341.96777,0.9838867,802.52344,348.0009,0.98046875,814.66406,359.76562,0.9189453,812.9839,351.36328,1.0
98,817.5078,340.60254,0.9897461,803.41064,347.39795,0.9707031,815.83594,359.16406,0.9848633,814.0449,350.0996,1.0
99,817.7578,340.4607,0.99072266,803.04004,347.35596,0.9736328,815.8242,359.95312,0.96191406,813.9707,350.06445,1.0
100,817.0254,339.4414,0.99609375,801.16797,346.29395,1.0,814.5703,359.93945,0.93408203,812.16626,349.20996,1.0
101,815.9297,338.29004,0.9511719,799.5,345.05078,0.98339844,814.6211,360.17188,0.9501953,810.27344,348.45435,1.0
